,0,1,2,3,4,5,6,7,8,9,10,11,12
33,Viticulture Essential Edition,(2015),8.0,1–6 Players,45–90 Min,Age: 13+,2.89,"Strategy
View poll and results",Contracts,Hand Management,Solo / Solitaire Game,Turn Order: Auction,Victory Points as a Resource
34,Barrage,(2019),8.2,1–4 Players,60–120 Min,Age: 14+,4.10,"Strategy
View poll and results",Action Retrieval,Contracts,End Game Bonuses,Income,Network and Route Building
35,The Crew: Mission Deep Sea,(2021),8.2,2–5 Players,20 Min,Age: 10+,2.04,"Family
View poll and results",Communication Limits,Cooperative Game,Hand Management,Scenario / Mission / Campaign Game,Trick-taking
36,Too Many Bones,(2017),8.3,1–4 Players,60–120 Min,Age: 12+,3.85,"Strategy,  Thematic
View poll and results",Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,Die Icon Resolution,Grid Movement
37,Food Chain Magnate,(2015),8.1,2–5 Players,120–240 Min,Age: 14+,4.21,"Strategy
View poll and results","Deck, Bag, and Pool Building",Delayed Purchase,Income,Market,Modular Board
38,Pax Pamir: Second Edition,(2019),8.2,1–5 Players,45–120 Min,Age: 13+,3.84,"Strategy
View poll and results",Action Points,Area Majority / Influence,Area Movement,Auction: Dutch,Hand Management
39,Marvel Champions: The Card Game,(2019),8.1,1–4 Players,45–90 Min,Age: 14+,2.92,"Customizable
View poll and results",Cooperative Game,Deck Construction,Hand Management,Scenario / Mission / Campaign Game,Solo / Solitaire Game
40,Underwater Cities,(2018),8.1,1–4 Players,80–150 Min,Age: 12+,3.60,"Strategy
View poll and results",End Game Bonuses,Hand Management,Income,Network and Route Building,Solo / Solitaire Game
41,Puerto Rico,(2002),7.9,3–5 Players,90–150 Min,Age: 12+,3.27,"Strategy
View poll and results",Action Drafting,End Game Bonuses,Follow,Hidden Victory Points,Increase Value of Unchosen Resources
42,Caverna: The Cave Farmers,(2013),8.0,1–7 Players,30–210 Min,Age: 12+,3.78,"Strategy
View poll and results",Automatic Resource Growth,Increase Value of Unchosen Resources,Solo / Solitaire Game,Tile Placement,Turn Order: Claim Action
43,Blood Rage,(2015),7.9,2–4 Players,60–90 Min,Age: 14+,2.87,"Strategy
View poll and results",Action Points,Area Majority / Influence,Area Movement,Card Play Conflict Resolution,Closed Drafting
44,Cascadia,(2021),8.0,1–4 Players,30–45 Min,Age: 10+,1.84,"Abstract,  Family
View poll and results",End Game Bonuses,Hexagon Grid,Open Drafting,Pattern Building,Solo / Solitaire Game
45,Frosthaven,(2022),8.9,1–4 Players,30–120 Min,Age: 14+,4.34,"Strategy,  Thematic
View poll and results",Campaign / Battle Card Driven,Communication Limits,Cooperative Game,Deck Construction,"Deck, Bag, and Pool Building"
46,On Mars,(2020),8.2,1–4 Players,90–150 Min,Age: 14+,4.67,"Strategy
View poll and results",Contracts,Delayed Purchase,End Game Bonuses,Hexagon Grid,Income
47,Anachrony,(2017),8.1,1–4 Players,30–120 Min,Age: 15+,4.02,"Strategy
View poll and results",Dice Rolling,Solo / Solitaire Game,Turn Order: Claim Action,Variable Player Powers,Worker Placement
48,Agricola,(2007),7.9,1–5 Players,30–150 Min,Age: 12+,3.64,"Strategy
View poll and results",Automatic Resource Growth,Closed Drafting,Enclosure,Hand Management,Increase Value of Unchosen Resources
49,Crokinole,(1876),8.0,2–4 Players,30 Min,Age: 8+,1.24,"Family
View poll and results",Flicking,Team-Based Game,,,
50,Pandemic Legacy: Season 0,(2020),8.4,2–4 Players,45–60 Min,Age: 14+,3.15,"Strategy,  Thematic
View poll and results",Action Points,Cooperative Game,Hand Management,Legacy Game,Point to Point Movement
51,Kanban EV,(2020),8.4,1–4 Players,60–180 Min,Age: 14+,4.31,"Strategy
View poll and results",Action Points,Hand Management,Variable Phase Order,Worker Placement,
52,Sleeping Gods,(2021),8.3,1–4 Players,60–1200 Min,Age: 13+,3.23,"Thematic
View poll and results",Action Points,Cooperative Game,Events,Hand Management,Narrative Choice / Paragraph
53,Pandemic Legacy: Season 2,(2017),8.0,2–4 Players,60 Min,Age: 14+,3.25,"Strategy,  Thematic
View poll and results",Action Points,Cooperative Game,Hand Management,Legacy Game,Pick-up and Deliver
54,Heat: Pedal to the Metal,(2022),8.1,1–6 Players,30–60 Min,Age: 10+,2.18,"Family
View poll and results",Catch the Leader,Hand Management,Race,Simulation,Simultaneous Action Selection
55,Mansions of Madness: Second Edition,(2016),8.0,1–5 Players,120–180 Min,Age: 14+,2.67,"Thematic
View poll and results",Area Movement,Cooperative Game,Dice Rolling,Hand Management,Map Addition
56,Maracaibo,(2019),8.1,1–4 Players,30–120 Min,Age: 12+,3.90,"Strategy
View poll and results",Contracts,End Game Bonuses,Events,Hand Management,Income
57,Lisboa,(2017),8.2,1–4 Players,60–120 Min,Age: 12+,4.59,"Strategy
View poll and results",Area Majority / Influence,Hand Management,Open Drafting,Solo / Solitaire Game,Tile Placement
58,Tzolk'in: The Mayan Calendar,(2012),7.9,2–4 Players,90 Min,Age: 13+,3.67,"Strategy
View poll and results",Bias,End Game Bonuses,Turn Order: Claim Action,Worker Placement,
59,Power Grid,(2004),7.8,2–6 Players,120 Min,Age: 12+,3.26,"Strategy
View poll and results",Auction: Turn Order Until Pass,Auction/Bidding,Catch the Leader,Income,Market
60,Clans of Caledonia,(2017),7.9,1–4 Players,30–120 Min,Age: 12+,3.46,"Strategy
View poll and results",Commodity Speculation,Contracts,Market,Modular Board,Network and Route Building
61,The Quacks of Quedlinburg,(2018),7.8,2–4 Players,45 Min,Age: 10+,1.95,"Family
View poll and results",Catch the Leader,"Deck, Bag, and Pool Building",Delayed Purchase,Dice Rolling,Events
62,Paladins of the West Kingdom,(2019),8.0,1–4 Players,90–120 Min,Age: 12+,3.72,"Strategy
View poll and results",End Game Bonuses,Market,Open Drafting,Solo / Solitaire Game,Worker Placement
63,Le Havre,(2008),7.9,1–5 Players,30–150 Min,Age: 12+,3.72,"Strategy
View poll and results",Automatic Resource Growth,End Game Bonuses,Increase Value of Unchosen Resources,Loans,Ownership
64,The Crew: The Quest for Planet Nine,(2019),7.8,2–5 Players,20 Min,Age: 10+,1.96,"Family,  Strategy
View poll and results",Communication Limits,Cooperative Game,Hand Management,Scenario / Mission / Campaign Game,Trick-taking
65,The Gallerist,(2015),8.0,1–4 Players,60–150 Min,Age: 13+,4.26,"Strategy
View poll and results",Area Majority / Influence,Commodity Speculation,Contracts,Investment,Open Drafting
66,Star Wars: Imperial Assault,(2014),8.0,1–5 Players,60–120 Min,Age: 14+,3.30,"Thematic
View poll and results",Dice Rolling,Die Icon Resolution,Grid Movement,Line of Sight,Modular Board
67,Mechs vs. Minions,(2016),8.0,2–4 Players,60–120 Min,Age: 14+,2.43,"Strategy,  Thematic
View poll and results",Action Queue,Bias,Cooperative Game,Dice Rolling,Modular Board
68,Grand Austria Hotel,(2015),7.9,2–4 Players,60–120 Min,Age: 12+,3.22,"Strategy
View poll and results",Action Drafting,Contracts,Dice Rolling,End Game Bonuses,Hand Management
69,Cthulhu: Death May Die,(2019),8.2,1–5 Players,90–120 Min,Age: 14+,2.43,"Thematic
View poll and results",Action Points,Cooperative Game,Dice Rolling,Scenario / Mission / Campaign Game,Solo / Solitaire Game
70,Android: Netrunner,(2012),7.9,2 Players,45 Min,Age: 14+,3.40,"Customizable
View poll and results",Action Points,Deck Construction,Hand Management,Race,Secret Unit Deployment
71,Kingdom Death: Monster,(2015),8.5,1–4 Players,60–180 Min,Age: 17+,4.26,"Thematic
View poll and results",Cooperative Game,Critical Hits and Failures,Dice Rolling,Grid Movement,Role Playing
72,Azul,(2017),7.8,2–4 Players,30–45 Min,Age: 8+,1.76,"Abstract,  Family
View poll and results",End Game Bonuses,Open Drafting,Pattern Building,Tile Placement,Turn Order: Claim Action
73,Agricola (Revised Edition),(2016),8.0,1–4 Players,30–120 Min,Age: 12+,3.47,"Strategy
View poll and results",Enclosure,Hand Management,Worker Placement,,
74,Race for the Galaxy,(2007),7.7,2–4 Players,30–60 Min,Age: 12+,2.99,"Strategy
View poll and results",Follow,Hand Management,Income,Market,Multi-Use Cards
75,Eclipse: New Dawn for the Galaxy,(2011),7.8,2–6 Players,60–180 Min,Age: 14+,3.70,"Strategy
View poll and results",Dice Rolling,Grid Movement,Hexagon Grid,Map Addition,Modular Board
76,Five Tribes,(2014),7.8,2–4 Players,40–80 Min,Age: 13+,2.85,"Strategy
View poll and results",Auction/Bidding,Constrained Bidding,End Game Bonuses,Hidden Victory Points,Mancala
77,Aeon's End,(2016),7.9,1–4 Players,60 Min,Age: 14+,2.81,"Strategy
View poll and results",Chit-Pull System,Cooperative Game,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management
78,Obsession,(2018),8.2,1–4 Players,30–90 Min,Age: 14+,3.12,"Strategy,  Thematic
View poll and results",Action Retrieval,"Deck, Bag, and Pool Building",Hand Management,Open Drafting,Solo / Solitaire Game
79,Clank!: A Deck-Building Adventure,(2016),7.8,2–4 Players,30–60 Min,Age: 12+,2.23,"Family,  Strategy
View poll and results",Action Points,"Deck, Bag, and Pool Building",Delayed Purchase,End Game Bonuses,Movement Points
80,Fields of Arle,(2014),8.0,1–2 Players,60–120 Min,Age: 13+,3.86,"Strategy
View poll and results",Automatic Resource Growth,Highest-Lowest Scoring,Income,Set Collection,Solo / Solitaire Game
81,Through the Ages: A Story of Civilization,(2006),7.9,2–4 Players,120 Min,Age: 12+,4.18,"Strategy
View poll and results",Action Points,Auction: Dutch,Auction/Bidding,Hand Management,Open Drafting
82,Teotihuacan: City of Gods,(2018),7.9,1–4 Players,90–120 Min,Age: 14+,3.78,"Strategy
View poll and results",Area Movement,Rondel,Set Collection,Solo / Solitaire Game,Tile Placement
83,Beyond the Sun,(2020),8.0,2–4 Players,60–120 Min,Age: 14+,3.13,"Strategy
View poll and results",Area Majority / Influence,Contracts,Events,Point to Point Movement,Tech Trees / Tech Tracks
84,Lords of Waterdeep,(2012),7.7,2–5 Players,60–120 Min,Age: 12+,2.45,"Strategy
View poll and results",Contracts,Hidden Roles,Increase Value of Unchosen Resources,Ownership,Set Collection
85,The Voyages of Marco Polo,(2015),7.8,2–4 Players,40–100 Min,Age: 12+,3.18,"Strategy
View poll and results",Contracts,Dice Rolling,Point to Point Movement,Resource to Move,Turn Order: Claim Action
86,Dominant Species,(2010),7.8,2–6 Players,120–240 Min,Age: 14+,4.04,"Strategy
View poll and results",Action Queue,Area Majority / Influence,End Game Bonuses,Grid Movement,Hexagon Grid
87,Robinson Crusoe: Adventures on the Cursed Island,(2012),7.8,1–4 Players,60–120 Min,Age: 14+,3.81,"Thematic
View poll and results",Action Queue,Area Movement,Cooperative Game,Dice Rolling,Die Icon Resolution
88,7 Wonders,(2010),7.7,2–7 Players,30 Min,Age: 10+,2.32,"Family,  Strategy
View poll and results",Closed Drafting,Hand Management,Neighbor Scope,Set Collection,Simultaneous Action Selection
89,The Search for Planet X,(2020),8.0,1–4 Players,60–75 Min,Age: 13+,2.37,"Strategy
View poll and results",Action Points,Deduction,End Game Bonuses,Paper-and-Pencil,Solo / Solitaire Game
90,Tainted Grail: The Fall of Avalon,(2019),8.1,1–4 Players,60–120 Min,Age: 14+,3.34,"Thematic
View poll and results",Area Movement,Campaign / Battle Card Driven,Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling
91,El Grande,(1995),7.7,2–5 Players,60–120 Min,Age: 12+,3.04,"Strategy
View poll and results",Action Drafting,Area Majority / Influence,Area Movement,Auction/Bidding,Hand Management
92,Architects of the West Kingdom,(2018),7.7,1–5 Players,60–80 Min,Age: 12+,2.75,"Strategy
View poll and results",Contracts,Increase Value of Unchosen Resources,Open Drafting,Solo / Solitaire Game,Tags
93,The 7th Continent,(2017),7.9,1–4 Players,5–1000 Min,Age: 14+,2.90,"Thematic
View poll and results",Area Movement,Cooperative Game,Hand Management,Map Addition,Modular Board
94,Battlestar Galactica: The Board Game,(2008),7.7,3–6 Players,120–180 Min,Age: 14+,3.25,"Thematic
View poll and results",Area Movement,Dice Rolling,Hand Management,Hidden Roles,Once-Per-Game Abilities
95,Inis,(2016),7.8,2–4 Players,60–90 Min,Age: 14+,2.89,"Strategy
View poll and results",Area Majority / Influence,Area Movement,Campaign / Battle Card Driven,Closed Drafting,Hand Management
96,Decrypto,(2018),7.8,3–8 Players,15–45 Min,Age: 12+,1.81,"Party
View poll and results",Communication Limits,Targeted Clues,Team-Based Game,,
97,Keyflower,(2012),7.7,2–6 Players,90–120 Min,Age: 12+,3.34,"Strategy
View poll and results",Auction: Fixed Placement,Auction: Multiple Lot,Auction/Bidding,Constrained Bidding,End Game Bonuses
98,Raiders of the North Sea,(2015),7.7,2–4 Players,60–80 Min,Age: 12+,2.55,"Strategy
View poll and results",Contracts,Dice Rolling,Hand Management,Worker Placement,"Worker Placement, Different Worker Types"
99,Caylus,(2005),7.7,2–5 Players,60–150 Min,Age: 12+,3.80,"Strategy
View poll and results",Action Queue,Ownership,Turn Order: Claim Action,Turn Order: Pass Order,Variable Set-up
100,Trickerion: Legends of Illusion,(2015),8.0,2–4 Players,60–180 Min,Age: 14+,4.25,"Strategy
View poll and results",Action Points,Action Queue,Catch the Leader,Dice Rolling,Simultaneous Action Selection
101,Dominion: Intrigue,(2009),7.7,2–6 Players,30 Min,Age: 13+,2.41,"Strategy
View poll and results","Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,,
102,Mombasa,(2015),7.9,2–4 Players,75–150 Min,Age: 12+,3.90,"Strategy
View poll and results",Action Queue,Area Majority / Influence,"Deck, Bag, and Pool Building",Hand Management,Investment
103,Tigris & Euphrates,(1997),7.7,2–4 Players,90 Min,Age: 12+,3.50,"Strategy
View poll and results",Area Majority / Influence,Connections,Hand Management,Hidden Victory Points,Highest-Lowest Scoring
104,Lorenzo il Magnifico,(2016),7.9,2–4 Players,60–120 Min,Age: 12+,3.29,"Strategy
View poll and results",Contracts,Dice Rolling,End Game Bonuses,Open Drafting,Turn Order: Claim Action
105,Troyes,(2010),7.7,1–4 Players,90 Min,Age: 12+,3.46,"Strategy
View poll and results",Area Majority / Influence,Dice Rolling,End Game Bonuses,Events,Hidden Victory Points
106,Eldritch Horror,(2013),7.8,1–8 Players,120–240 Min,Age: 14+,3.32,"Thematic
View poll and results",Action Points,Cooperative Game,Dice Rolling,Point to Point Movement,Resource to Move
107,The Lord of the Rings: Journeys in Middle-Earth,(2019),7.9,1–5 Players,60–120 Min,Age: 14+,2.65,"Thematic
View poll and results",Campaign / Battle Card Driven,Cooperative Game,"Deck, Bag, and Pool Building",Modular Board,Role Playing
108,Twilight Imperium: Third Edition,(2005),7.8,3–6 Players,180–240 Min,Age: 14+,4.26,"Strategy,  Thematic
View poll and results",Action Points,Area-Impulse,Dice Rolling,Follow,Grid Movement
109,Concordia Venus,(2018),8.3,2–6 Players,60–120 Min,Age: 12+,3.02,"Strategy
View poll and results",Action Retrieval,Advantage Token,Auction: Dutch,Communication Limits,"Deck, Bag, and Pool Building"
110,Russian Railroads,(2013),7.7,2–4 Players,120 Min,Age: 13+,3.40,"Strategy
View poll and results",End Game Bonuses,Tech Trees / Tech Tracks,Turn Order: Claim Action,Worker Placement,
111,Patchwork,(2014),7.6,2 Players,15–30 Min,Age: 8+,1.60,"Abstract,  Family
View poll and results",Grid Coverage,Income,Open Drafting,Rondel,Square Grid
112,Trajan,(2011),7.8,2–4 Players,60–120 Min,Age: 12+,3.64,"Strategy
View poll and results",Area Movement,Hand Management,Mancala,Open Drafting,Set Collection
113,Carnegie,(2022),8.0,1–4 Players,90–120 Min,Age: 12+,3.83,"Strategy
View poll and results",Action Retrieval,Area Movement,Connections,End Game Bonuses,Follow
114,Rising Sun,(2018),7.8,3–5 Players,90–120 Min,Age: 14+,3.30,"Strategy
View poll and results",Action Drafting,Alliances,Area Majority / Influence,Area Movement,Auction: Sealed Bid
115,Aeon's End: War Eternal,(2017),8.3,1–4 Players,60 Min,Age: 14+,2.92,"Strategy
View poll and results",Cooperative Game,"Deck, Bag, and Pool Building",Hand Management,Open Drafting,Variable Phase Order
116,Dominion,(2008),7.6,2–4 Players,30 Min,Age: 13+,2.35,"Strategy
View poll and results","Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting,Take That
117,Vinhos: Deluxe Edition,(2016),8.1,1–4 Players,60–135 Min,Age: 14+,4.02,"Strategy
View poll and results",Area Majority / Influence,Variable Phase Order,Worker Placement,,
118,Dwellings of Eldervale,(2020),8.2,1–5 Players,60–150 Min,Age: 14+,3.25,"Strategy
View poll and results",Dice Rolling,Hand Management,Modular Board,Solo / Solitaire Game,Variable Player Powers
119,Age of Steam,(2002),7.8,1–6 Players,120 Min,Age: 13+,3.88,"Strategy
View poll and results",Auction/Bidding,Catch the Leader,Connections,Dice Rolling,Loans
120,The Isle of Cats,(2019),7.7,1–4 Players,60–90 Min,Age: 8+,2.36,"Family,  Strategy
View poll and results",Closed Drafting,Grid Coverage,Hidden Victory Points,Income,Open Drafting
121,Clank! In! Space!: A Deck-Building Adventure,(2017),7.8,2–4 Players,45–90 Min,Age: 12+,2.56,"Family,  Strategy
View poll and results","Deck, Bag, and Pool Building",Delayed Purchase,Modular Board,Open Drafting,Player Elimination
122,The Quest for El Dorado,(2017),7.7,2–4 Players,30–60 Min,Age: 10+,1.93,"Family
View poll and results","Deck, Bag, and Pool Building",Delayed Purchase,Grid Movement,Hand Management,Hexagon Grid
123,Pandemic: Iberia,(2016),7.9,2–5 Players,45 Min,Age: 8+,2.59,"Strategy
View poll and results",Action Points,Cooperative Game,Hand Management,Network and Route Building,Point to Point Movement
124,Hansa Teutonica,(2009),7.7,2–5 Players,45–90 Min,Age: 12+,3.10,"Strategy
View poll and results",Action Points,Area Majority / Influence,End Game Bonuses,Network and Route Building,Ownership
125,Codenames,(2015),7.6,2–8 Players,15 Min,Age: 14+,1.26,"Party
View poll and results",Communication Limits,Memory,Push Your Luck,Team-Based Game,
126,Forbidden Stars,(2015),8.0,2–4 Players,120–180 Min,Age: 14+,3.84,"Strategy
View poll and results",Area Majority / Influence,Area Movement,Card Play Conflict Resolution,"Deck, Bag, and Pool Building",Dice Rolling
127,Yokohama,(2016),7.8,2–4 Players,90 Min,Age: 14+,3.31,"Strategy
View poll and results",Contracts,End Game Bonuses,Grid Movement,Modular Board,Network and Route Building
128,Oathsworn: Into the Deepwood,(2022),9.1,1–4 Players,30–90 Min,Age: 14+,3.57,"Thematic
View poll and results",Action Points,Card Play Conflict Resolution,Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling
129,Champions of Midgard,(2015),7.7,2–4 Players,60–90 Min,Age: 10+,2.60,"Strategy
View poll and results",Dice Rolling,Set Collection,Variable Player Powers,Worker Placement,
130,Roll for the Galaxy,(2014),7.6,2–5 Players,45 Min,Age: 13+,2.78,"Strategy
View poll and results",Action Retrieval,Contracts,"Deck, Bag, and Pool Building",Dice Rolling,Follow
131,PARKS,(2019),7.7,1–5 Players,30–60 Min,Age: 10+,2.13,"Family
View poll and results",Contracts,End Game Bonuses,Events,Modular Board,Solo / Solitaire Game
132,Cartographers,(2019),7.6,1–100 Players,30–45 Min,Age: 10+,1.88,"Family
View poll and results",Bingo,End Game Bonuses,Grid Coverage,Line Drawing,Paper-and-Pencil
133,Pandemic,(2008),7.5,2–4 Players,45 Min,Age: 8+,2.40,"Family,  Strategy
View poll and results",Action Points,Cooperative Game,Hand Management,Point to Point Movement,Set Collection
134,Res Arcana,(2019),7.7,2–4 Players,30–60 Min,Age: 12+,2.63,"Strategy
View poll and results",Hand Management,Income,Open Drafting,Race,Score-and-Reset Game
135,Targi,(2012),7.6,2 Players,60 Min,Age: 12+,2.34,"Strategy
View poll and results",End Game Bonuses,Modular Board,Open Drafting,Set Collection,Square Grid
136,Watergate,(2019),7.8,2 Players,30–60 Min,Age: 12+,2.26,"Strategy
View poll and results",Action/Event,Campaign / Battle Card Driven,Connections,Hand Management,Once-Per-Game Abilities
137,Rajas of the Ganges,(2017),7.7,2–4 Players,45–75 Min,Age: 12+,2.89,"Strategy
View poll and results",Connections,Dice Rolling,Network and Route Building,Race,Tile Placement
138,Alchemists,(2014),7.6,2–4 Players,120 Min,Age: 13+,3.93,"Strategy
View poll and results",Action Drafting,Constrained Bidding,Deduction,End Game Bonuses,Events
139,Just One,(2018),7.6,3–7 Players,20–60 Min,Age: 8+,1.04,"Party
View poll and results",Communication Limits,Cooperative Game,,,
140,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,(1982),7.6,1–8 Players,60–120 Min,Age: 13+,2.68,"Thematic
View poll and results",Cooperative Game,Deduction,Narrative Choice / Paragraph,Solo / Solitaire Game,Storytelling
141,Star Realms,(2014),7.6,2 Players,20 Min,Age: 12+,1.93,"Strategy
View poll and results","Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Income,Open Drafting
142,Kemet,(2012),7.7,2–5 Players,90–120 Min,Age: 13+,3.00,"Strategy
View poll and results",Action Points,Area Majority / Influence,Area Movement,Card Play Conflict Resolution,Hand Management
143,It's a Wonderful World,(2019),7.7,1–5 Players,30–60 Min,Age: 14+,2.31,"Strategy
View poll and results",Closed Drafting,End Game Bonuses,Hand Management,Set Collection,Simultaneous Action Selection
