name,published_year,avg_rating,recc_age,weight,game_type,mech_1,mech_2,mech_3,mech_4,mech_5,rank,min_player,max_player,min_playtime,max_playtime
Trickerion: Legends of Illusion,2015,8.0, 14,4.25,Strategy,Action Points,Action Queue,Catch the Leader,Dice Rolling,Simultaneous Action Selection,101,2,4,60,180
Dominion: Intrigue,2009,7.7, 13,2.41,Strategy,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,,,102,2,6,30,30
Mombasa,2015,7.9, 12,3.9,Strategy,Action Queue,Area Majority / Influence,"Deck, Bag, and Pool Building",Hand Management,Investment,103,2,4,75,150
Tigris & Euphrates,1997,7.7, 12,3.5,Strategy,Area Majority / Influence,Connections,Hand Management,Hidden Victory Points,Highest-Lowest Scoring,104,2,4,90,90
Lorenzo il Magnifico,2016,7.9, 12,3.29,Strategy,Contracts,Dice Rolling,End Game Bonuses,Open Drafting,Turn Order: Claim Action,105,2,4,60,120
Troyes,2010,7.7, 12,3.46,Strategy,Area Majority / Influence,Dice Rolling,End Game Bonuses,Events,Hidden Victory Points,106,1,4,90,90
Eldritch Horror,2013,7.8, 14,3.32,Thematic,Action Points,Cooperative Game,Dice Rolling,Point to Point Movement,Resource to Move,107,1,8,120,240
The Lord of the Rings: Journeys in Middle-Earth,2019,7.9, 14,2.65,Thematic,Campaign / Battle Card Driven,Cooperative Game,"Deck, Bag, and Pool Building",Modular Board,Role Playing,108,1,5,60,120
Twilight Imperium: Third Edition,2005,7.8, 14,4.26,Strategy,Action Points,Area-Impulse,Dice Rolling,Follow,Grid Movement,109,3,6,180,240
Concordia Venus,2018,8.3, 12,3.02,Strategy,Action Retrieval,Advantage Token,Auction: Dutch,Communication Limits,"Deck, Bag, and Pool Building",110,2,6,60,120
Russian Railroads,2013,7.7, 13,3.4,Strategy,End Game Bonuses,Tech Trees / Tech Tracks,Turn Order: Claim Action,Worker Placement,,111,2,4,120,120
Patchwork,2014,7.6, 8,1.6,Abstract,Grid Coverage,Income,Open Drafting,Rondel,Square Grid,112,2,2,15,30
Trajan,2011,7.8, 12,3.64,Strategy,Area Movement,Hand Management,Mancala,Open Drafting,Set Collection,113,2,4,60,120
Carnegie,2022,8.0, 12,3.83,Strategy,Action Retrieval,Area Movement,Connections,End Game Bonuses,Follow,114,1,4,90,120
Rising Sun,2018,7.8, 14,3.3,Strategy,Action Drafting,Alliances,Area Majority / Influence,Area Movement,Auction: Sealed Bid,115,3,5,90,120
Aeon's End: War Eternal,2017,8.3, 14,2.92,Strategy,Cooperative Game,"Deck, Bag, and Pool Building",Hand Management,Open Drafting,Variable Phase Order,116,1,4,60,60
Dominion,2008,7.6, 13,2.35,Strategy,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting,Take That,117,2,4,30,30
Vinhos: Deluxe Edition,2016,8.1, 14,4.02,Strategy,Area Majority / Influence,Variable Phase Order,Worker Placement,,,118,1,4,60,135
Dwellings of Eldervale,2020,8.2, 14,3.25,Strategy,Dice Rolling,Hand Management,Modular Board,Solo / Solitaire Game,Variable Player Powers,119,1,5,60,150
Age of Steam,2002,7.8, 13,3.88,Strategy,Auction/Bidding,Catch the Leader,Connections,Dice Rolling,Loans,120,1,6,120,120
The Isle of Cats,2019,7.7, 8,2.36,Family,Closed Drafting,Grid Coverage,Hidden Victory Points,Income,Open Drafting,121,1,4,60,90
Clank! In! Space!: A Deck-Building Adventure,2017,7.8, 12,2.56,Family,"Deck, Bag, and Pool Building",Delayed Purchase,Modular Board,Open Drafting,Player Elimination,122,2,4,45,90
The Quest for El Dorado,2017,7.7, 10,1.93,Family,"Deck, Bag, and Pool Building",Delayed Purchase,Grid Movement,Hand Management,Hexagon Grid,123,2,4,30,60
Pandemic: Iberia,2016,7.9, 8,2.59,Strategy,Action Points,Cooperative Game,Hand Management,Network and Route Building,Point to Point Movement,124,2,5,45,45
Hansa Teutonica,2009,7.7, 12,3.1,Strategy,Action Points,Area Majority / Influence,End Game Bonuses,Network and Route Building,Ownership,125,2,5,45,90
Codenames,2015,7.6, 14,1.26,Party,Communication Limits,Memory,Push Your Luck,Team-Based Game,,126,2,8,15,15
Forbidden Stars,2015,8.0, 14,3.84,Strategy,Area Majority / Influence,Area Movement,Card Play Conflict Resolution,"Deck, Bag, and Pool Building",Dice Rolling,127,2,4,120,180
Yokohama,2016,7.8, 14,3.31,Strategy,Contracts,End Game Bonuses,Grid Movement,Modular Board,Network and Route Building,128,2,4,90,90
Oathsworn: Into the Deepwood,2022,9.1, 14,3.57,Thematic,Action Points,Card Play Conflict Resolution,Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,129,1,4,30,90
Champions of Midgard,2015,7.7, 10,2.6,Strategy,Dice Rolling,Set Collection,Variable Player Powers,Worker Placement,,130,2,4,60,90
Roll for the Galaxy,2014,7.6, 13,2.78,Strategy,Action Retrieval,Contracts,"Deck, Bag, and Pool Building",Dice Rolling,Follow,131,2,5,45,45
PARKS,2019,7.7, 10,2.13,Family,Contracts,End Game Bonuses,Events,Modular Board,Solo / Solitaire Game,132,1,5,30,60
Cartographers,2019,7.6, 10,1.88,Family,Bingo,End Game Bonuses,Grid Coverage,Line Drawing,Paper-and-Pencil,133,1,100,30,45
Pandemic,2008,7.5, 8,2.4,Family,Action Points,Cooperative Game,Hand Management,Point to Point Movement,Set Collection,134,2,4,45,45
Res Arcana,2019,7.7, 12,2.63,Strategy,Hand Management,Income,Open Drafting,Race,Score-and-Reset Game,135,2,4,30,60
Targi,2012,7.6, 12,2.34,Strategy,End Game Bonuses,Modular Board,Open Drafting,Set Collection,Square Grid,136,2,2,60,60
Watergate,2019,7.8, 12,2.26,Strategy,Action/Event,Campaign / Battle Card Driven,Connections,Hand Management,Once-Per-Game Abilities,137,2,2,30,60
Rajas of the Ganges,2017,7.7, 12,2.89,Strategy,Connections,Dice Rolling,Network and Route Building,Race,Tile Placement,138,2,4,45,75
Alchemists,2014,7.6, 13,3.93,Strategy,Action Drafting,Constrained Bidding,Deduction,End Game Bonuses,Events,139,2,4,120,120
Just One,2018,7.6, 8,1.04,Party,Communication Limits,Cooperative Game,,,,140,3,7,20,60
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1982,7.6, 13,2.68,Thematic,Cooperative Game,Deduction,Narrative Choice / Paragraph,Solo / Solitaire Game,Storytelling,141,1,8,60,120
Star Realms,2014,7.6, 12,1.93,Strategy,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Income,Open Drafting,142,2,2,20,20
Kemet,2012,7.7, 13,3.0,Strategy,Action Points,Area Majority / Influence,Area Movement,Card Play Conflict Resolution,Hand Management,143,2,5,90,120
It's a Wonderful World,2019,7.7, 14,2.31,Strategy,Closed Drafting,End Game Bonuses,Hand Management,Set Collection,Simultaneous Action Selection,144,1,5,30,60
Praga Caput Regni,2020,7.9, 12,3.75,Strategy,Area Majority / Influence,Enclosure,End Game Bonuses,Hexagon Grid,Income,145,1,4,45,150
SCOUT,2019,7.8, 9,1.36,Family,Hand Management,Ladder Climbing,Score-and-Reset Game,,,146,2,5,15,15
Endeavor: Age of Sail,2018,7.9, 13,2.84,Strategy,Area Majority / Influence,Open Drafting,Point to Point Movement,Set Collection,Tech Trees / Tech Tracks,147,2,5,60,90
Ra,1999,7.6, 12,2.34,Strategy,Auction: Once Around,Auction/Bidding,Closed Economy Auction,Constrained Bidding,Hidden Victory Points,148,2,5,45,60
Hadrian's Wall,2021,8.0, 12,3.13,Strategy,Hand Management,Paper-and-Pencil,Solo / Solitaire Game,Tech Trees / Tech Tracks,Worker Placement,149,1,6,30,60
Stone Age,2008,7.5, 10,2.46,Family,Contracts,Dice Rolling,End Game Bonuses,Set Collection,Turn Order: Progressive,150,2,4,60,90
Legendary Encounters: An Alien Deck Building Game,2014,7.8, 17,2.7,Thematic,Cooperative Game,"Deck, Bag, and Pool Building",Delayed Purchase,Events,Hidden Roles,151,1,5,30,60
Ticket to Ride: Europe,2005,7.5, 8,1.92,Family,Connections,Contracts,End Game Bonuses,Hand Management,Network and Route Building,152,2,5,30,60
Terraforming Mars: Ares Expedition,2021,7.7, 14,2.91,Strategy,End Game Bonuses,Follow,Hand Management,Income,Set Collection,153,1,4,45,60
The Lord of the Rings: The Card Game,2011,7.7, 13,3.21,Customizable,Cooperative Game,Deck Construction,Events,Hand Management,Scenario / Mission / Campaign Game,154,1,2,30,60
Marco Polo II: In the Service of the Khan,2019,8.0, 12,3.38,Strategy,Contracts,Dice Rolling,Point to Point Movement,Resource to Move,Variable Player Powers,155,2,4,60,120
Star Wars: X-Wing Miniatures Game,2012,7.6, 14,2.49,Customizable,Action Queue,Critical Hits and Failures,Dice Rolling,Line of Sight,Movement Template,156,2,2,30,45
Magic: The Gathering,1993,7.6, 13,3.25,Customizable,Betting and Bluffing,Closed Drafting,Deck Construction,Hand Management,Income,157,2,2,20,20
Viscounts of the West Kingdom,2020,7.9, 12,3.46,Strategy,Area Majority / Influence,"Deck, Bag, and Pool Building",End Game Bonuses,Hand Management,King of the Hill,158,1,4,60,90
Tyrants of the Underdark,2016,7.9, 14,2.55,Strategy,Area Majority / Influence,Connections,"Deck, Bag, and Pool Building",Delayed Purchase,Variable Set-up,159,2,4,60,60
Glen More II: Chronicles,2019,7.9, 12,3.03,Strategy,Commodity Speculation,Grid Movement,Market,Set Collection,Tile Placement,160,2,4,90,120
Istanbul,2014,7.5, 10,2.58,Family,Contracts,Dice Rolling,Grid Movement,Modular Board,Network and Route Building,161,2,5,40,60
Undaunted: Normandy,2019,7.8, 14,2.25,Wargames,"Deck, Bag, and Pool Building",Dice Rolling,Hand Management,Modular Board,Open Drafting,162,2,2,45,60
Xia: Legends of a Drift System,2014,7.9, 12,3.19,Strategy,Action Points,Dice Rolling,Grid Movement,Map Addition,Modular Board,163,3,5,60,180
That's Pretty Clever!,2018,7.6, 8,1.88,Family,Dice Rolling,Highest-Lowest Scoring,Paper-and-Pencil,Re-rolling and Locking,Solo / Solitaire Game,164,1,4,30,30
Welcome To...,2018,7.5, 10,1.84,Family,Bingo,Contracts,Paper-and-Pencil,Pattern Building,Simultaneous Action Selection,165,1,100,25,25
War Chest,2018,7.9, 14,2.3,Abstract,Area Majority / Influence,"Deck, Bag, and Pool Building",Delayed Purchase,Grid Movement,Hand Management,166,2,4,30,30
Splendor Duel,2022,8.0, 10,1.97,Family,Contracts,Open Drafting,Race,Set Collection,,167,2,2,30,30
Jaipur,2009,7.5, 12,1.47,Family,Hand Management,Hidden Victory Points,Market,Open Drafting,Resource Queue,168,2,2,30,30
Chaos in the Old World,2009,7.7, 13,3.2,Strategy,Action Points,Area Majority / Influence,Area Movement,Dice Rolling,Events,169,3,4,60,120
Radlands,2021,7.9, 14,2.26,Strategy,Action Points,Action Queue,Hand Management,Take That,Variable Player Powers,170,2,2,20,40
War of the Ring,2004,7.8, 12,3.84,Thematic,Action Points,Area Majority / Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling,171,2,4,120,120
Dominion (Second Edition),2016,7.8, 14,2.17,Strategy,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting,Take That,172,2,4,30,30
Descent: Journeys in the Dark (Second Edition),2012,7.6, 14,3.21,Thematic,Action Points,Cooperative Game,Dice Rolling,Grid Movement,Hand Management,173,1,5,120,120
This War of Mine: The Board Game,2017,7.8, 18,3.3,Thematic,Action Points,Cooperative Game,Dice Rolling,Events,Grid Movement,174,1,6,45,120
Nemesis: Lockdown,2022,8.4, 12,3.89,Thematic,Campaign / Battle Card Driven,Cooperative Game,Dice Rolling,Hidden Roles,Modular Board,175,1,5,90,180
Azul: Summer Pavilion,2019,7.7, 8,2.05,Abstract,End Game Bonuses,Open Drafting,Pattern Building,Set Collection,Tile Placement,176,2,4,30,45
Memoir '44,2004,7.5, 8,2.28,Wargames,Area Majority / Influence,Campaign / Battle Card Driven,Command Cards,Dice Rolling,Die Icon Resolution,177,2,8,30,60
